StemSign,StemRole,Post240Class,StemScore,TotalCount,OP240Count,BareCount,TextCount,TopForms,TopFrame,TopFrameShare,Frames,Sites,Symbols,SemanticFrames,ValidationScore,ValidationStatuses,Examples
460,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,460:1; 460-740:1,002|740,0.500,002|740:1; 002|<END>:1,Kalibangan:2,Bull1:2,PrimeEntityAdministrativeFormula:2,0.000,,K-88
621,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,621-416:1; 621-416-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Rhin:2,PrimeEntitySealFormula:2,0.000,,M-1139
792,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,792:1; 792-740-090:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:S:2,PrimeEntitySealFormula:2,0.000,,M-853
912,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,912:1; 912-740:1,002|740,0.500,002|740:1; 002|<END>:1,Kalibangan:2,,PrimeEntityAdministrativeFormula:2,0.000,,K-419
015,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,015-390:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,Bull1:S:1,InitialClassifierFormula:1,0.000,,M-1833
072,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,072-406:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,,InitialClassifierFormula:1,0.000,,M-1961
097,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,097-161:1,002|<END>,1.000,002|<END>:1,Harappa:1,,InitialClassifierFormula:1,0.000,,H-164
111,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,111:1,002|<END>,1.000,002|<END>:1,Nausharo:1,Bull1:I:1,LowEvidenceSequence:1,0.000,,Ns-56
132,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,132-924:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,Zebu:1,InitialClassifierFormula:1,0.000,,M-1899
139,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,139:1,002|<END>,1.000,002|<END>:1,Harappa:1,,InitialClassifierFormula:1,0.000,,H-829
150,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,150-416:1,002|<END>,1.000,002|<END>:1,Susa:1,Gaur:1,LowEvidenceSequence:1,0.000,,-
190,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,190-409:1,002|<END>,1.000,002|<END>:1,Lothal:1,Bull1:1,LowEvidenceSequence:1,0.000,,L-47
221,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,221:1,002|740,1.000,002|740:1,Chanhu-daro:1,Bull1:J:1,PrimeEntitySealFormula:1,0.000,,C-6
260,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,260-156:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,Bull1:W:1,ClassifierSlotTerminalFormula:1,0.000,,M-795
315,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,315-520:1,002|<END>,1.000,002|<END>:1,Lothal:1,Bull1:1,ClassifierSlotTerminalFormula:1,0.000,,L-39
361,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,361:1,002|<END>,1.000,002|<END>:1,Rakhigarhi:1,Gavi:1,LowEvidenceSequence:1,0.000,,-
405,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,405:1,002|<END>,1.000,002|<END>:1,Harappa:1,,LowEvidenceSequence:1,0.000,,H-663
406,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,406:1,002|<END>,1.000,002|<END>:1,Kalibangan:1,,InitialClassifierFormula:1,0.000,,K-431
423,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,423-001-003-423:1,002|<END>,1.000,002|<END>:1,Dholavira:1,,LowEvidenceSequence:1,0.000,,-
