Frame,Left,Right,Filler,FillerLength,Count,TextCount,SiteCount,RegionCount,TypeCount,FirstSign,FinalSign,StemMinusFinal,RestAfterInitial,DominantSite,DominantSiteShare,DominantRegion,DominantRegionShare,DominantType,DominantTypeShare,DominantSymbol,DominantSymbolShare,SealPct,CompletePct,Examples
002|<END>,002,<END>,104-415-368,3,1,1,1,1,1,104,368,104-415,415-368,Unknown,1.0,Other,1.0,SEAL:S,1.0,Tigr,1.0,1.0,1.0,5576.1/-/Unknown
002|<END>,002,<END>,104-615-740,3,1,1,1,1,1,104,740,104-615,615-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Zebu,1.0,1.0,1.0,3481.1/M-1110/Mohenjo-daro
002|<END>,002,<END>,111,1,1,1,1,1,1,111,111,,,Nausharo,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:I,1.0,1.0,1.0,4894.1/Ns-56/Nausharo
002|<END>,002,<END>,125,1,1,1,1,1,1,125,125,,,Chanhu-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Gaur,1.0,1.0,1.0,76.1/C-74/Chanhu-daro
002|<END>,002,<END>,125-090,2,1,1,1,1,1,125,090,125,090,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1,1.0,1.0,1.0,3306.1/M-901/Mohenjo-daro
002|<END>,002,<END>,132-924,2,1,1,1,1,1,132,924,132,924,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Zebu,1.0,1.0,1.0,2350.1/M-1899/Mohenjo-daro
002|<END>,002,<END>,137,1,1,1,1,1,1,137,137,,,Harappa,1.0,Inter-Riverine,1.0,TAB:B,1.0,Mult,1.0,0.0,1.0,1607.1/H-702/Harappa
002|<END>,002,<END>,137-033-700,3,1,1,1,1,1,137,700,137-033,033-700,Harappa,1.0,Inter-Riverine,1.0,TAB:B,1.0,Gavi,1.0,0.0,1.0,1611.1/H-706/Harappa
002|<END>,002,<END>,139,1,1,1,1,1,1,139,139,,,Harappa,1.0,Inter-Riverine,1.0,TAB:B,1.0,,0.0,0.0,1.0,1717.1/H-829/Harappa
002|<END>,002,<END>,140-100,2,1,1,1,1,1,140,100,140,100,Mohenjo-daro,1.0,Lower Indus,1.0,BNGL,1.0,,0.0,0.0,0.0,2477.1/-/Mohenjo-daro
