AnchorTemplate,Count,SiteCount,TypeCount,Examples
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,3574.1/M-1267/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[2],1,1,1,3579.1/M-1272/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,3589.1/M-1284/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN,1,1,1,3592.1/M-1287/Mohenjo-daro
NAME_LIKE_BLOCK[3] SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,3648.1/M-1343/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX,1,1,1,3650.1/M-1346/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN NAME_LIKE_BLOCK[3] SIGN SIGN,1,1,1,3651.1/M-1350/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,3668.1/M-1369/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3679.1/M-1383/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN,1,1,1,3680.1/M-1384/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,3682.1/M-1386/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3693.1/M-1402/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,3712.1/M-1427/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3713.1/M-1429/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,3769.1/-/Ganweriwala
LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER,1,1,1,3842.1/M-1652/Mohenjo-daro
SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,3858.1/Nd-1/Nindowari-damb
INITIAL_TITLE_OR_CLASSIFIER SIGN CLOSING_FORMULA_MARKER CROSS_SITE_NAME_ANCHOR[3],1,1,1,3875.1/Sktd-1/Surkotada
TERMINAL_TITLE_OR_SUFFIX SIGN CLOSING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3876.1/Sktd-2/Surkotada
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN,1,1,1,3882.1/-/Susa
SIGN SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3915.1/H-1021/Harappa
LEADING_FORMULA_MARKER SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN,1,1,1,3916.1/H-1022/Harappa
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER CROSS_SITE_NAME_ANCHOR[3],1,1,1,3985.1/M-1736/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,3992.1/M-1825/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN SIGN SIGN SIGN,1,1,1,3993.1/M-1835/Mohenjo-daro
SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3995.1/M-1843/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,4000.1/M-1878/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,1,1,1,4016.1/M-2021/Mohenjo-daro
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER SIGN,1,1,1,4022.1/M-2033/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,4034.1/M-2087/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,4059.1/H-1198/Harappa
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN,1,1,1,4097.1/H-1367/Harappa
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,4155.1/-/Gonur Depe
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,4164.1/-/Dholavira
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,4177.1/-/Dholavira
SIGN SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,4182.1/-/Dholavira
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,4194.1/-/Dholavira
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN CLOSING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER,1,1,1,4195.1/-/Dholavira
SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER SIGN SIGN,1,1,1,4203.1/-/Dholavira
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,4221.1/-/Dholavira
TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER,1,1,1,4223.1/-/Dholavira
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,4229.1/-/Dholavira
SIGN SIGN SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN,1,1,1,4233.1/-/Dholavira
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN,1,1,1,4244.1/-/Dholavira
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER,1,1,1,4247.1/-/Dholavira
CLOSING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,4348.1/-/Dholavira
TERMINAL_TITLE_OR_SUFFIX CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,4575.1/H-1292/Harappa
SIGN SIGN SIGN SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[2],1,1,1,5218.1/-/Gola Dhoro (Bagasra)
INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER SIGN,1,1,1,5343.1/K-429/Kalibangan
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,5358.1/Ns-57/Nausharo
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,5361.1/Ns-60/Nausharo
SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,5367.1/Ns-66/Nausharo
SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,5384.1/Ns-87/Nausharo
SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,5456.1/-/Tarkhanewala-dera
CLOSING_FORMULA_MARKER CLOSING_FORMULA_MARKER CLOSING_FORMULA_MARKER,1,1,1,5533.1/M-2094/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER,1,1,1,5571.1/-/Dholavira
