AnchorTemplate,Count,SiteCount,TypeCount,Examples
SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,9,2,1,27.1/B-1/Banawali; 2405.1/M-1767/Mohenjo-daro; 2595.1/M-67/Mohenjo-daro; 2647.1/M-120/Mohenjo-daro; 2764.1/M-241/Mohenjo-daro; 2823.1/M-304/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER,9,4,6,200.1/H-1400/Harappa; 866.2/H-2133/Harappa; 1621.1/H-718/Harappa; 1877.1/K-1/Kalibangan; 2036.1/L-82/Lothal; 2171.1/-/Mohenjo-daro
LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,9,4,5,464.1/H-585/Harappa; 489.1/H-2210/Harappa; 1539.1/H-596/Harappa; 1924.1/K-65/Kalibangan; 2191.1/M-1857/Mohenjo-daro; 2408.1/M-2010/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,9,2,1,505.1/H-1799/Harappa; 1235.1/H-204/Harappa; 1643.1/H-750/Harappa; 1644.1/H-751/Harappa; 1645.1/H-752/Harappa; 1646.1/H-753/Harappa
LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,9,3,5,533.1/H-2175/Harappa; 574.1/H-2055/Harappa; 666.1/H-2054/Harappa; 902.1/H-2020/Harappa; 904.1/H-2019/Harappa; 1430.1/H-440/Harappa
SIGN INITIAL_TITLE_OR_CLASSIFIER,9,4,5,700.1/H-2373/Harappa; 762.2/H-2098/Harappa; 1866.1/H-992/Harappa; 2304.1/M-1761/Mohenjo-daro; 3093.1/M-649/Mohenjo-daro; 3347.1/M-952/Mohenjo-daro
NAME_LIKE_BLOCK[3] SIGN TERMINAL_TITLE_OR_SUFFIX,9,5,3,1101.1/H-42/Harappa; 1466.1/H-478/Harappa; 2043.1/L-89/Lothal; 2542.1/M-14/Mohenjo-daro; 2575.1/M-47/Mohenjo-daro; 2858.1/M-362/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3],9,5,5,1112.1/H-53/Harappa; 2088.1/L-146/Lothal; 2324.1/M-1777/Mohenjo-daro; 2649.1/M-122/Mohenjo-daro; 3233.1/M-820/Mohenjo-daro; 3253.1/M-841/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,8,3,3,107.1/C-20/Chanhu-daro; 646.2/H-1824/Harappa; 1447.1/H-457/Harappa; 2254.1/M-1756/Mohenjo-daro; 2673.1/M-146/Mohenjo-daro; 2903.1/M-407/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] SIGN TERMINAL_TITLE_OR_SUFFIX,8,4,3,257.1/H-1309/Harappa; 2133.3/L-217/Lothal; 2192.1/M-1805/Mohenjo-daro; 2249.1/M-966/Mohenjo-daro; 3358.1/M-964/Mohenjo-daro; 3364.1/M-971/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN TERMINAL_TITLE_OR_SUFFIX,8,4,6,288.1/H-1402/Harappa; 1942.2/K-87/Kalibangan; 2379.1/M-1960/Mohenjo-daro; 2738.1/M-214/Mohenjo-daro; 4156.1/-/Dholavira; 4220.1/-/Dholavira
LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,8,2,4,382.2/H-1894/Harappa; 423.1/H-1997/Harappa; 921.2/H-1929/Harappa; 1313.1/H-291/Harappa; 1384.1/H-365/Harappa; 1501.1/H-530/Harappa
SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,8,3,3,788.1/H-1840/Harappa; 1063.1/H-2/Harappa; 1944.1/K-89/Kalibangan; 2817.1/M-297/Mohenjo-daro; 3318.1/M-921/Mohenjo-daro; 3465.1/M-1091/Mohenjo-daro
SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],8,3,4,1888.1/K-13/Kalibangan; 2326.1/M-1967/Mohenjo-daro; 2622.1/M-95/Mohenjo-daro; 2774.1/M-251/Mohenjo-daro; 3113.1/M-674/Mohenjo-daro; 3354.1/M-959/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,8,1,2,2380.1/M-2026/Mohenjo-daro; 2949.1/M-464/Mohenjo-daro; 2950.1/M-465/Mohenjo-daro; 2951.1/M-466/Mohenjo-daro; 2952.1/M-467/Mohenjo-daro; 3149.1/M-725/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,7,3,3,9.1/Ad-4/Allahdino; 405.2/H-2192/Harappa; 1667.1/H-776/Harappa; 2315.1/M-1783/Mohenjo-daro; 2373.1/M-1695/Mohenjo-daro; 2656.1/M-129/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN,7,4,3,83.1/C-62/Chanhu-daro; 942.1/H-1719/Harappa; 1177.1/H-136/Harappa; 1407.1/H-396/Harappa; 1893.1/K-18/Kalibangan; 2260.1/M-1710/Mohenjo-daro
SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],7,3,1,95.1/C-7/Chanhu-daro; 322.1/H-1027/Harappa; 1398.1/H-383/Harappa; 1445.1/H-455/Harappa; 2592.1/M-64/Mohenjo-daro; 2759.1/M-236/Mohenjo-daro
SIGN CROSS_SITE_NAME_ANCHOR[3],7,3,2,138.1/-/Dholavira; 1878.1/K-2/Kalibangan; 2625.1/M-98/Mohenjo-daro; 2702.1/M-177/Mohenjo-daro; 2797.1/M-276/Mohenjo-daro; 3271.1/M-860/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,7,3,3,228.1/-/Harappa; 229.1/H-1312/Harappa; 894.1/H-2135/Harappa; 1936.1/K-80/Kalibangan; 2620.1/M-93/Mohenjo-daro; 3186.1/M-768/Mohenjo-daro
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,7,2,4,293.1/H-1033/Harappa; 370.2/H-2016/Harappa; 1556.1/H-641/Harappa; 1700.2/H-811/Harappa; 2985.2/M-509/Mohenjo-daro; 2986.2/M-510/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2],7,3,3,1130.1/H-71/Harappa; 2090.1/L-148/Lothal; 2353.1/M-1799/Mohenjo-daro; 2704.1/M-178/Mohenjo-daro; 3235.1/M-822/Mohenjo-daro; 3380.1/M-987/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,7,2,2,1456.1/H-468/Harappa; 1537.1/H-593/Harappa; 2495.1/M-1780/Mohenjo-daro; 2593.1/M-65/Mohenjo-daro; 3394.1/M-1002/Mohenjo-daro; 3814.1/M-1597/Mohenjo-daro
SIGN SIGN NAME_LIKE_BLOCK[3],7,1,3,2176.1/M-1989/Mohenjo-daro; 2225.1/M-1923/Mohenjo-daro; 2482.1/M-1907/Mohenjo-daro; 2676.1/M-149/Mohenjo-daro; 2802.1/M-281/Mohenjo-daro; 3623.1/M-1318/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN,6,5,2,158.1/-/Gola Dhoro (Bagasra); 1011.1/H-1713/Harappa; 1996.1/L-18/Lothal; 2669.1/M-142/Mohenjo-daro; 3520.1/M-1160/Mohenjo-daro; 5464.1/-/Unknown
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,6,3,1,284.1/H-1030/Harappa; 1104.1/H-45/Harappa; 2013.1/L-41/Lothal; 2268.1/M-1709/Mohenjo-daro; 2543.1/M-15/Mohenjo-daro; 3265.1/M-853/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,6,2,2,499.2/H-1862/Harappa; 776.1/H-1958/Harappa; 907.1/H-1959/Harappa; 1207.1/H-172/Harappa; 1610.1/H-705/Harappa; 3500.1/M-1133/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,6,3,3,623.1/H-1706/Harappa; 1426.1/H-426/Harappa; 2218.1/M-1683/Mohenjo-daro; 2280.1/M-1724/Mohenjo-daro; 3624.1/M-1319/Mohenjo-daro; 4200.1/-/Dholavira
SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,6,2,3,629.1/H-1801/Harappa; 1057.1/H-733/Harappa; 1226.1/H-194/Harappa; 1633.1/H-734/Harappa; 3143.1/M-719/Mohenjo-daro; 3931.1/H-1079/Harappa
NAME_LIKE_BLOCK[2],6,3,4,685.3/H-2212/Harappa; 2372.1/M-1740/Mohenjo-daro; 2726.1/M-201/Mohenjo-daro; 3662.1/M-1363/Mohenjo-daro; 3737.2/M-1465/Mohenjo-daro; 5280.1/K-153/Kalibangan
NAME_LIKE_BLOCK[3] SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,6,2,1,1074.1/H-13/Harappa; 1536.1/H-592/Harappa; 2655.1/M-128/Mohenjo-daro; 3177.1/M-754/Mohenjo-daro; 3513.1/M-1152/Mohenjo-daro; 3925.1/H-1048/Harappa
SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,6,2,2,1214.1/H-180/Harappa; 1214.2/H-180/Harappa; 1454.1/H-466/Harappa; 2448.1/M-1739/Mohenjo-daro; 2728.1/M-203/Mohenjo-daro; 3463.1/M-1089/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,6,5,2,1294.1/H-270/Harappa; 1882.1/K-7/Kalibangan; 2041.1/L-87/Lothal; 2193.1/M-1766/Mohenjo-daro; 2564.1/M-36/Mohenjo-daro; 3857.1/Ns-9/Nausharo
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,6,3,2,1440.1/H-450/Harappa; 2234.1/M-1956/Mohenjo-daro; 2636.1/M-109/Mohenjo-daro; 3628.1/M-1323/Mohenjo-daro; 4001.1/M-1894/Mohenjo-daro; 4208.1/-/Dholavira
