Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,TextCount,TopRegion,TopSite,TopSymbol,TopType,TopMaterial,Frames,SemanticFrames,ExampleTexts
055-032-740,R23-A07-T01,TerminalFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-1308@Mohenjo-daro/Unknown
103-740-090,R162-T01-A10,TerminalFiller,ControlOrLowPriority,0.322,1,1,Other:1,Unknown:1,Bull:1,SEAL:1,Unknown:1,741|<END>:1,TerminalFormula:1,-@Unknown/Bull
175-742,R68-R76,InitialFiller,ControlOrLowPriority,0.322,1,1,Gujarat/Kutch:1,Dholavira:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,-@Dholavira/Bull
240-705-033-803,A02-A13-A11-A12,InitialFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,C-9@Chanhu-daro/Bull
350-463-798-740,R11-R92-A14-T01,TerminalFiller,ControlOrLowPriority,0.322,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,H-515@Harappa/Bull
482-740-621,R16-T01-R47,TerminalFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Mohenjo-daro:1,T-A-T:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-310@Mohenjo-daro/T-A-T
694,R263,InitialFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Mohenjo-daro:1,Zebu:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-261@Mohenjo-daro/Zebu
786-530-742-240,R275-R56-R76-A02,InitialFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-758@Mohenjo-daro/Bull
792-269-740,R277-R53-T01,TerminalFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-926@Mohenjo-daro/Bull
803-240-233-520,A12-A02-A04-T02,TerminalFiller,ControlOrLowPriority,0.322,1,1,Inter-Riverine:1,Kalibangan:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,K-5@Kalibangan/Bull
803-798-415-220,A12-A14-R13-A09,InitialFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-707@Mohenjo-daro/Bull
859,R290,InitialFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-1771@Mohenjo-daro/Bull
741-176-156,A03-R02-T06,TerminalFiller,ControlOrLowPriority,0.321,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Steatite:1,060|<END>:1,TerminalFormula:1,H-1309@Harappa/Unknown
741-235-231-740-741,A03-M01-R21-T01-A03,TerminalFiller,ControlOrLowPriority,0.321,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Faience:1,060|<END>:1,TerminalFormula:1,M-1190@Mohenjo-daro/Unknown
741-415-100-740,A03-R13-A15-T01,TerminalFiller,ControlOrLowPriority,0.321,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,TAG:1,Clay:1,060|<END>:1,TerminalFormula:1,M-427@Mohenjo-daro/Bull
741-821-740,A03-R142-T01,TerminalFiller,ControlOrLowPriority,0.321,1,1,Gujarat/Kutch:1,Lothal:1,Composite/Multiple:1,TAB:1,Faience:1,060|<END>:1,TerminalFormula:1,L-217@Lothal/Composite/Multiple
001-255-435-690-740,A05-R07-R14-R08-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,H-61@Harappa/Bull
001-520-350-543-874,A05-T02-R11-R134-R295,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Zebu:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-1116@Mohenjo-daro/Zebu
005-407,R49-R12,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-378@Mohenjo-daro/Unknown
032-125-610-002,A07-R05-R247-A01,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,M-1665@Mohenjo-daro/Bull
032-632-368-297-060,A07-R58-R04-R70-A06,InitialFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Gola Dhoro (Bagasra):1,Bull:1,SEAL:1,Unknown:1,<START>|240:1,TerminalFormula:1,-@Gola Dhoro (Bagasra)/Bull
032-862-002,A07-R291-A01,InitialFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|520:1,TerminalFormula:1,H-1033@Harappa/Bull
032-927-740,A07-R82-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-890@Mohenjo-daro/Bull
033-033-520,A11-A11-T02,TerminalFiller,ControlOrLowPriority,0.32,1,1,Other:1,Unknown:1,Bull:i:S:1,SEAL:1,Unknown:1,741|<END>:1,TerminalFormula:1,-@Unknown/Bull:i:S
055-617-150-400,R23-R57-R85-T03,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-252@Mohenjo-daro/Gaur
056-415-060,R154-R13-A06,InitialFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,H-14@Harappa/Bull
067-740,R157-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,C-55@Chanhu-daro/Bull
070-617-002,R20-R57-A01,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,M-81@Mohenjo-daro/Bull
091-500-741,R65-R55-A03,InitialFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Dholavira:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,-@Dholavira/Bull
095-812-002,R84-R141-A01,InitialFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Lothal:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,L-1@Lothal/Bull
125-406,R05-R54,InitialFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,H-50@Harappa/Bull
140-919,M07-R145,InitialFiller,ControlOrLowPriority,0.32,2,2,Lower Indus:2,Mohenjo-daro:2,Unknown:1; Bull:1,SEAL:2,Steatite:2,<START>|520:2,ClassifierSlotTerminalFormula:2,M-355@Mohenjo-daro/Unknown; M-1661@Mohenjo-daro/Bull
166-111-060,R174-R164-A06,InitialFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Lothal:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,L-26@Lothal/Bull
175-741,R68-A03,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,M-786@Mohenjo-daro/Bull
190-297,R109-R70,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-1087@Mohenjo-daro/Gaur
208,R181,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-890@Mohenjo-daro/Bull
233-550-527,A04-R15-T04,TerminalFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Lothal:1,Bull:1,SEAL:1,Steatite:1,002|<END>:1,TerminalFormula:1,L-1@Lothal/Bull
233-555-527,A04-R40-T04,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Unknown:1,235|<END>:1,TerminalFormula:1,M-1966@Mohenjo-daro/Unknown
233-798-740,A04-A14-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-786@Mohenjo-daro/Bull
233-803-740,A04-A12-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,C-8@Chanhu-daro/Bull
233-840-032-740,A04-R10-A07-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,H-483@Harappa/Bull
235-482-740-406-742,M01-R16-T01-R54-R76,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,POT:1,Clay:1,001|<END>:1,TerminalFormula:1,M-2061@Mohenjo-daro/Unknown
235-717,M01-R41,InitialFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Steatite:1,<START>|741:1,TerminalFormula:1,H-328@Harappa/Unknown
240-231-520-621,A02-R21-T02-R47,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Elephant:1,SEAL:1,Steatite:1,002|<END>:1,TerminalFormula:1,M-1150@Mohenjo-daro/Elephant
240-233-520,A02-A04-T02,TerminalFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,H-17@Harappa/Bull
240-233-705-033-520,A02-A04-A13-A11-T02,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|<END>:1,TerminalFormula:1,M-1665@Mohenjo-daro/Bull
240-416-840-740,A02-R34-R10-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Dholavira:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,-@Dholavira/Bull
240-495-070-520,A02-R93-R20-T02,TerminalFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Gola Dhoro (Bagasra):1,Bull:1,SEAL:1,Unknown:1,060|<END>:1,TerminalFormula:1,-@Gola Dhoro (Bagasra)/Bull
240-555-527,A02-R40-T04,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|<END>:1,TerminalFormula:1,M-81@Mohenjo-daro/Bull
240-705-033-520,A02-A13-A11-T02,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-1890@Mohenjo-daro/Gaur
240-740-679,A02-T01-R35,TerminalFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,H-421@Harappa/Bull
240-772-740,A02-R99-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,H-14@Harappa/Bull
240-798-740,A02-A14-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Lothal:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,L-26@Lothal/Bull
243-150,R69-R85,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-252@Mohenjo-daro/Gaur
243-159,R69-R173,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-1276@Mohenjo-daro/Unknown
262,R191,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-1776@Mohenjo-daro/Bull
272-033,R87-A11,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,<START>|741:1,TerminalFormula:1,M-730@Mohenjo-daro/Bull
272-081-741,R87-R105-A03,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,M-85@Mohenjo-daro/Bull
297-060,R70-A06,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,M-183@Mohenjo-daro/Bull
320-100-740-090,R37-A15-T01-A10,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,001|<END>:1,TerminalFormula:1,M-1221@Mohenjo-daro/Bull
324-794-741,R120-R279-A03,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Zebu:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-1116@Mohenjo-daro/Zebu
325-740,R203-T01,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-1276@Mohenjo-daro/Unknown
346-840,R124-R10,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-120@Mohenjo-daro/Bull
351-090-384-740,R206-A10-R27-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,741|<END>:1,TerminalFormula:1,M-730@Mohenjo-daro/Bull
382-016-220-760-740,R71-R64-A09-A16-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-112@Mohenjo-daro/Bull
412,R216,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-863@Mohenjo-daro/Bull
415-220-798-740,R13-A09-A14-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-661@Mohenjo-daro/Bull
416-151,R34-T05,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Gavial:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-293@Mohenjo-daro/Gavial
440-741,R38-A03,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,M-888@Mohenjo-daro/Bull
456-002,R90-A01,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Elephant:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,M-1150@Mohenjo-daro/Elephant
520-500-220,T02-R55-A09,TerminalFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|<END>:1,TerminalFormula:1,H-1033@Harappa/Bull
564-803-090-520,R96-A12-A10-T02,TerminalFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Dholavira:1,Unknown:1,SEAL:1,Unknown:1,741|<END>:1,TerminalFormula:1,-@Dholavira/Unknown
579-250-741,R136-R52-A03,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,C-8@Chanhu-daro/Bull
585-100-740-858,R24-A15-T01-R289,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-120@Mohenjo-daro/Bull
590-740-746,A08-T01-R270,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-378@Mohenjo-daro/Unknown
615,R98,InitialFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,H-612@Harappa/Bull
632-300,R58-R199,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,<START>|001:1,TerminalFormula:1,M-1221@Mohenjo-daro/Bull
683-572,R257-R74,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-241@Mohenjo-daro/Gaur
684-572,R258-R74,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-112@Mohenjo-daro/Bull
705-255-740,A13-R07-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-863@Mohenjo-daro/Bull
705-500,A13-R55,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-128@Mohenjo-daro/Bull
741-530-455-220,A03-R56-R44-A09,InitialFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Kalibangan:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,K-7@Kalibangan/Bull
803-220-520,A12-A09-T02,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-1776@Mohenjo-daro/Bull
803-923-740,A12-R26-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-128@Mohenjo-daro/Bull
838-176-100-740,R61-R02-A15-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Kalibangan:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,K-7@Kalibangan/Bull
838-798-740-621,R61-A14-T01-R47,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,T-M-T:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-306@Mohenjo-daro/T-M-T
840-032-740-090,R10-A07-T01-A10,TerminalFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-241@Mohenjo-daro/Gaur
849,R288,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Gavial:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-293@Mohenjo-daro/Gavial
850-092,R80-R158,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,T-M-T:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-306@Mohenjo-daro/T-M-T
892-647,R36-R256,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,C-55@Chanhu-daro/Bull
892-798,R36-A14,InitialFiller,ControlOrLowPriority,0.32,1,1,Gujarat/Kutch:1,Dholavira:1,Unknown:1,SEAL:1,Unknown:1,<START>|741:1,TerminalFormula:1,-@Dholavira/Unknown
893-590-892-740,R297-A08-R36-T01,TerminalFiller,ControlOrLowPriority,0.32,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,H-612@Harappa/Bull
906-741,R144-A03,InitialFiller,ControlOrLowPriority,0.32,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,M-1691@Mohenjo-daro/Bull
003-424,M05-R221,TerminalFiller,ControlOrLowPriority,0.319,1,1,Lower Indus:1,Mohenjo-daro:1,Buff:1,TAB:1,Copper:1,001|<END>:1,TerminalFormula:1,M-1475@Mohenjo-daro/Buff
176-435-690-740,R02-R14-R08-T01,TerminalFiller,ControlOrLowPriority,0.319,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Faience:1,233|<END>:1,TerminalFormula:1,H-1842@Harappa/Unknown
240-233,A02-A04,InitialFiller,ControlOrLowPriority,0.319,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Clay:1,<START>|520:1,TerminalFormula:1,H-874@Harappa/Unknown
268-760-740,R192-A16-T01,TerminalFiller,ControlOrLowPriority,0.319,1,1,Inter-Riverine:1,Harappa:1,Plant:1,TAB:1,Faience:1,233|<END>:1,TerminalFormula:1,H-852@Harappa/Plant
850,R80,InitialFiller,ControlOrLowPriority,0.319,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Faience:1,<START>|741:1,TerminalFormula:1,H-205@Harappa/Unknown
220-255-435-690,A09-R07-R14-R08,PreTerminalFiller,ControlOrLowPriority,0.318,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,032|740:1,TerminalFormula:1,M-38@Mohenjo-daro/Bull
233-705-033-740-400,A04-A13-A11-T01-T03,TerminalFiller,ControlOrLowPriority,0.318,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Faience:1,235|<END>:1,TerminalFormula:1,H-768@Harappa/Unknown
003-220-590,M05-A09-A08,InitialFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,TerminalFormula:1,M-94@Mohenjo-daro/Bull
003-220-590-390-740,M05-A09-A08-M02-T01,TerminalFiller,ControlOrLowPriority,0.317,1,1,Mesopotamia:1,Kish:1,Bull:1,SEAL:1,Unknown:1,060|<END>:1,TerminalFormula:1,-@Kish/Bull
031-350-400,M03-R11-T03,InitialFiller,ControlOrLowPriority,0.317,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|520:1,TerminalFormula:1,H-530@Harappa/Bull
140-920-740-090,M07-M04-T01-A10,TerminalFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Tigr:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-1165@Mohenjo-daro/Tigr
235-504-031-740,M01-R45-M03-T01,TerminalFiller,ControlOrLowPriority,0.317,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Unknown:1,060|<END>:1,TerminalFormula:1,H-391@Harappa/Bull
350-400-740-090,R11-T03-T01-A10,TerminalFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Zebu:1,SEAL:1,Steatite:1,031|<END>:1,TerminalFormula:1,M-263@Mohenjo-daro/Zebu
384-156-400,R27-T06-T03,TerminalFiller,ControlOrLowPriority,0.317,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Steatite:1,031|<END>:1,TerminalFormula:1,H-368@Harappa/Unknown
390-090,M02-A10,InitialFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,TerminalFormula:1,M-1770@Mohenjo-daro/Bull
527-741-032-590,T04-A03-A07-A08,InitialFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,TerminalFormula:1,M-965@Mohenjo-daro/Bull
728-390-741-240-590,R268-M02-A03-A02-A08,InitialFiller,ControlOrLowPriority,0.317,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,TerminalFormula:1,H-449@Harappa/Bull
740-031-590-390-161,T01-M03-A08-M02-R107,TerminalFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,C-12@Chanhu-daro/Bull
740-952-740,T01-R304-T01,InitialFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Silver:1,<START>|240:1,TerminalFormula:1,M-1792@Mohenjo-daro/Bull
790-390-741-590,R100-M02-A03-A08,InitialFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,TerminalFormula:1,M-131@Mohenjo-daro/Bull
806-240-520-001-003,M06-A02-T02-A05-M05,TerminalFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,002|<END>:1,TerminalFormula:1,M-358@Mohenjo-daro/Unknown
806-240-520-001-416,M06-A02-T02-A05-R34,TerminalFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,002|<END>:1,TerminalFormula:1,M-1284@Mohenjo-daro/Unknown
920-400-740,M04-T03-T01,TerminalFiller,ControlOrLowPriority,0.317,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,031|<END>:1,TerminalFormula:1,C-15@Chanhu-daro/Bull
927-415-100-740,R82-R13-A15-T01,TerminalFiller,ControlOrLowPriority,0.317,1,1,Other:1,Unknown:1,Bull:1,SEAL:1,Unknown:1,060|<END>:1,TerminalFormula:1,-@Unknown/Bull
