Probe,Side,Unit,TextId,CISI,Frame,TargetFrame,Site,Type,Symbol,Material,SemanticFrame,ReadingTokens,StructuralParse
240-482 :: 235,Neighbor,235,3044.2,M-574,<START>|233,<START>|233,Mohenjo-daro,TAB,Other,Copper,TerminalFormula,235-233-222-740,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-222-740]
240-482 :: 235,Neighbor,235,3774.1,M-1521,<START>|233,<START>|233,Mohenjo-daro,TAB,Rhinoceros,Copper,TerminalFormula,235-233-222-740,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-222-740]
240-482 :: 235,Neighbor,235,3775.1,M-1522,<START>|233,<START>|233,Mohenjo-daro,TAB,Rhinoceros,Copper,TerminalFormula,235-233-222-740,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-222-740]
240-482 :: 235,Neighbor,235,2245.1,M-1890,<START>|240,<START>|233,Mohenjo-daro,SEAL,Gaur,Steatite,TerminalFormula,235-240-705-033-520,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-705-033-520]
240-482 :: 235,Neighbor,235,4008.1,M-1966,<START>|233,<START>|233,Mohenjo-daro,SEAL,Unknown,-,TerminalFormula,235-233-555-527,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-555-527]
240-482 :: 235,Neighbor,235,1660.1,H-768,<START>|233,<START>|233,Harappa,TAB,Unknown,Faience,TerminalFormula,235-233-705-033-740-400,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-705-033-740-400]
240-740-090 :: 235,Neighbor,235,1189.1,H-148,<START>|240,<START>|233,Harappa,SEAL,Unknown,Steatite,TerminalFormula,235-240-520,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-520]
240-740-090 :: 235,Neighbor,235,4232.1,-,<START>|520,<START>|233,Dholavira,SEAL,Bull,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-740-090 :: 235,Neighbor,235,2294.1,M-1917,<START>|233,<START>|233,Mohenjo-daro,SEAL,Tigr,Steatite,TerminalFormula,235-233-555-527-400,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-555-527-400]
240-740-090 :: 235,Neighbor,235,3096.1,M-653,002|740,<START>|233,Mohenjo-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,861-002-235-740-679,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235] | PRODUCTIVE_SLOT(235_<END>)[740-679]
240-740-090 :: 235,Neighbor,235,70.1,C-70,<START>|240,<START>|233,Chanhu-daro,SEAL,Bull,Steatite,TerminalFormula,235-240-740-151-031-032,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-151-031-032]
240-740-090 :: 235,Neighbor,235,2060.1,L-111,<START>|240,<START>|233,Lothal,SEAL,Unknown,Shell,TerminalFormula,235-240-904-740,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-904-740]
240-740-090 :: 235,Neighbor,235,1182.1,H-141,<START>|233,<START>|233,Harappa,SEAL,Unknown,Steatite,LowEvidenceSequence,235-233-002-070-003-900-032-405,PRODUCTIVE_SLOT(<START>_233)[235] | 233:SLOT_INITIAL_MODIFIER | 002:SLOT_FINAL_MODIFIER | PRODUCTIVE_SLOT(002_<END>)[070-003-900-032-405]
240-740-090 :: 235,Neighbor,235,2337.1,M-1885,<START>|240,<START>|233,Mohenjo-daro,SEAL,Gaur,Steatite,TerminalFormula,235-240-055-151,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-055-151]
240-740-090 :: 235,Neighbor,235,2873.1,M-377,<START>|240,<START>|233,Mohenjo-daro,SEAL,Unknown,-,TerminalFormula,235-240-255-435-690-740,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-255-435-690-740]
240-740-090 :: 235,Neighbor,235,3357.1,M-962,<START>|240,<START>|233,Mohenjo-daro,SEAL,Bull,-,TerminalFormula,235-240-220-520,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-220-520]
240-740-090 :: 235,Neighbor,235,3468.1,M-1096,<START>|240,<START>|233,Mohenjo-daro,SEAL,Gaur,Steatite,TerminalFormula,235-240-455-740,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-455-740]
240-740-090 :: 235,Neighbor,235,3576.1,M-1269,<START>|240,<START>|233,Mohenjo-daro,SEAL,Unknown,-,TerminalFormula,235-240-706-033-520,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-706-033-520]
240-740-090 :: 235,Neighbor,235,2969.1,M-486,<START>|520,<START>|233,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
