Unit,AbstractUnit,Role,TestClass,Dimension,Category,Count,UnitOccurrences,BaselineCount,Expected,Lift,Log2Lift,AssociationScore,Strength
590,A08,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,5,6,309,3.054,1.637,0.711,0.692,Moderate
806,M06,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,5,6,309,3.054,1.637,0.711,0.692,Moderate
384-740,R27-T01,TerminalFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,4,4,333,2.194,1.823,0.866,0.685,Moderate
820-002-003,C01-A01-M05,InitialFiller,ControlOrLowPriority,Symbol,Bull,4,4,358,2.359,1.696,0.762,0.67,Moderate
384-740,R27-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,4,4,360,2.372,1.686,0.754,0.669,Moderate
032-070-590-390,A07-R20-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,Site,Harappa,2,2,174,0.573,3.489,1.803,0.646,Moderate
032-877-740,A07-R81-T01,InitialFiller,AffixOrFormulaAnchor,Site,Harappa,2,2,174,0.573,3.489,1.803,0.646,Moderate
201-060,R110-A06,InitialFiller,AffixOrFormulaAnchor,Site,Harappa,2,2,174,0.573,3.489,1.803,0.646,Moderate
240-630-740,A02-R75-T01,TerminalFiller,AffixOrFormulaAnchor,Site,Harappa,2,2,174,0.573,3.489,1.803,0.646,Moderate
320-920-740-400,R37-M04-T01-T03,TerminalFiller,ControlOrLowPriority,Site,Harappa,2,2,174,0.573,3.489,1.803,0.646,Moderate
550-060,R15-A06,InitialFiller,AffixOrFormulaAnchor,Site,Harappa,2,2,174,0.573,3.489,1.803,0.646,Moderate
741,A03,InitialFiller,AffixOrFormulaAnchor,Site,Harappa,2,2,174,0.573,3.489,1.803,0.646,Moderate
741-350-504,A03-R11-R45,TerminalFiller,ControlOrLowPriority,Site,Harappa,2,2,174,0.573,3.489,1.803,0.646,Moderate
904-031-740,R19-M03-T01,TerminalFiller,ControlOrLowPriority,Site,Harappa,2,2,174,0.573,3.489,1.803,0.646,Moderate
233-705-033-585-407,A04-A13-A11-R24-R12,TerminalFiller,ControlOrLowPriority,Symbol,Comp,2,3,3,0.015,134.889,7.076,0.642,Moderate
235-222,M01-R31,PrimeEntityFiller,StrongOnomasticAnchor,Site,Chanhu-daro,2,3,20,0.099,20.233,4.339,0.641,Moderate
004-407,R28-R12,TerminalFiller,CrossFramePhoneticAnchor,Material,Steatite,4,4,412,2.715,1.473,0.559,0.64,Moderate
171-032-031,R67-A07-M03,InitialFiller,ControlOrLowPriority,Material,Steatite,4,4,412,2.715,1.473,0.559,0.64,Moderate
240-904,A02-R19,PrimeEntityFiller,PrimeEntityContextNeeded,Material,Clay,2,3,28,0.138,14.452,3.853,0.64,Moderate
032-070-590-390,A07-R20-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
032-877-740,A07-R81-T01,InitialFiller,AffixOrFormulaAnchor,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
201-060,R110-A06,InitialFiller,AffixOrFormulaAnchor,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
240-630-740,A02-R75-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
320-920-740-400,R37-M04-T01-T03,TerminalFiller,ControlOrLowPriority,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
550-060,R15-A06,InitialFiller,AffixOrFormulaAnchor,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
630,R75,InitialFiller,AffixOrFormulaAnchor,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
741,A03,InitialFiller,AffixOrFormulaAnchor,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
741-350-504,A03-R11-R45,TerminalFiller,ControlOrLowPriority,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
904-031-740,R19-M03-T01,TerminalFiller,ControlOrLowPriority,Region,Inter-Riverine,2,2,185,0.61,3.281,1.714,0.636,Moderate
031-740,M03-T01,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,3,3,309,1.527,1.964,0.974,0.623,Moderate
125,R05,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,3,3,309,1.527,1.964,0.974,0.623,Moderate
240-255-435-690-740,A02-R07-R14-R08-T01,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,3,3,309,1.527,1.964,0.974,0.623,Moderate
240-636-740-400,A02-R48-T01-T03,TerminalFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,3,3,309,1.527,1.964,0.974,0.623,Moderate
760-740,A16-T01,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,3,3,309,1.527,1.964,0.974,0.623,Moderate
803-740,A12-T01,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,3,3,309,1.527,1.964,0.974,0.623,Moderate
851,R102,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,3,3,309,1.527,1.964,0.974,0.623,Moderate
923-740,R26-T01,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,3,3,309,1.527,1.964,0.974,0.623,Moderate
233,A04,InitialFiller,CrossFramePhoneticAnchor,Site,Harappa,5,10,174,2.867,1.744,0.803,0.613,Moderate
