"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"268","3","0","0","3","0","0","0","1","0","0.5889","0"
"278","3","1","0","2","0","0.3333","0","0.6667","0","0.1944","-0.3333"
"279","3","2","0","1","0","0.6667","0","0.3333","0","0.2667","-0.6667"
"285","3","2","0","1","0","0.6667","0","0.3333","0","0.0556","-0.6667"
"292","3","0","1","2","0","0","0.3333","0.6667","0","0.8222","0.3333"
"324","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.5556","0"
"345","3","2","0","1","0","0.6667","0","0.3333","0","0.1667","-0.6667"
"346","3","2","0","1","0","0.6667","0","0.3333","0","0.037","-0.6667"
"362","3","1","0","2","0","0.3333","0","0.6667","0","0.3905","-0.3333"
"411","3","0","2","1","0","0","0.6667","0.3333","0","0.9444","0.6667"
"470","3","2","0","1","0","0.6667","0","0.3333","0","0.1667","-0.6667"
"543","3","0","0","3","0","0","0","1","0","0.6138","0"
"552","3","0","0","3","0","0","0","1","0","0.4389","0"
"561","3","2","0","1","0","0.6667","0","0.3333","0","0.0667","-0.6667"
"634","3","3","0","0","0","1","0","0","0","0","-1"
"643","3","0","0","3","0","0","0","1","0","0.6759","0"
"681","3","3","0","0","0","1","0","0","0","0","-1"
"687","3","3","0","0","0","1","0","0","0","0","-1"
"710","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.5","0"
"720","3","2","0","1","0","0.6667","0","0.3333","0","0.1667","-0.6667"
"744","3","2","0","1","0","0.6667","0","0.3333","0","0.1111","-0.6667"
"797","3","2","0","1","0","0.6667","0","0.3333","0","0.1667","-0.6667"
"805","3","1","0","2","0","0.3333","0","0.6667","0","0.2879","-0.3333"
"829","3","3","0","0","0","1","0","0","0","0","-1"
"879","3","0","0","3","0","0","0","1","0","0.6528","0"
"893","3","1","0","2","0","0.3333","0","0.6667","0","0.2444","-0.3333"
"912","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.5833","0"
"922","3","3","0","0","0","1","0","0","0","0","-1"
"930","3","0","3","0","0","0","1","0","0","1","1"
"006","2","1","0","1","0","0.5","0","0.5","0","0.375","-0.5"
"012","2","1","0","1","0","0.5","0","0.5","0","0.1818","-0.5"
"029","2","1","0","1","0","0.5","0","0.5","0","0.25","-0.5"
"041","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"042","2","0","0","2","0","0","0","1","0","0.7083","0"
"059","2","2","0","0","0","1","0","0","0","0","-1"
"062","2","0","0","2","0","0","0","1","0","0.625","0"
"082","2","1","0","1","0","0.5","0","0.5","0","0.125","-0.5"
"092","2","0","0","2","0","0","0","1","0","0.25","0"
"096","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"099","2","0","0","2","0","0","0","1","0","0.5","0"
"112","2","2","0","0","0","1","0","0","0","0","-1"
"118","2","2","0","0","0","1","0","0","0","0","-1"
"121","2","1","0","1","0","0.5","0","0.5","0","0.1667","-0.5"
"126","2","2","0","0","0","1","0","0","0","0","-1"
"127","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"143","2","0","1","1","0","0","0.5","0.5","0","0.75","0.5"
"157","2","0","2","0","0","0","1","0","0","1","1"
"178","2","0","2","0","0","0","1","0","0","1","1"
"191","2","1","0","1","0","0.5","0","0.5","0","0.2","-0.5"
"192","2","0","0","2","0","0","0","1","0","0.5417","0"
"195","2","2","0","0","0","1","0","0","0","0","-1"
"200","2","0","1","1","0","0","0.5","0.5","0","0.9167","0.5"
"205","2","0","0","2","0","0","0","1","0","0.8167","0"
"262","2","2","0","0","0","1","0","0","0","0","-1"
"286","2","0","1","1","0","0","0.5","0.5","0","0.8182","0.5"
"287","2","0","0","2","0","0","0","1","0","0.1458","0"
"299","2","0","0","2","0","0","0","1","0","0.35","0"
"300","2","0","0","2","0","0","0","1","0","0.25","0"
"301","2","0","0","2","0","0","0","1","0","0.1964","0"
"302","2","0","0","2","0","0","0","1","0","0.6","0"
"304","2","0","0","2","0","0","0","1","0","0.65","0"
"308","2","0","0","2","0","0","0","1","0","0.5417","0"
"319","2","1","0","1","0","0.5","0","0.5","0","0.1429","-0.5"
"330","2","0","0","2","0","0","0","1","0","0.2","0"
"351","2","1","0","1","0","0.5","0","0.5","0","0.25","-0.5"
"361","2","2","0","0","0","1","0","0","0","0","-1"
"367","2","1","0","1","0","0.5","0","0.5","0","0.2","-0.5"
"373","2","1","0","1","0","0.5","0","0.5","0","0.4","-0.5"
"381","2","1","0","1","0","0.5","0","0.5","0","0.4167","-0.5"
"410","2","2","0","0","0","1","0","0","0","0","-1"
"424","2","0","2","0","0","0","1","0","0","1","1"
"450","2","0","1","1","0","0","0.5","0.5","0","0.6","0.5"
"457","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"475","2","1","0","1","0","0.5","0","0.5","0","0.125","-0.5"
"479","2","2","0","0","0","1","0","0","0","0","-1"
