StructuralTemplate,Count
SLOT_INITIAL_MODIFIER SIGN SIGN SIGN,1
SLOT_FINAL_MODIFIER SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,1
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,1
TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,1
LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,1
TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,1
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1
SLOT_INITIAL_MODIFIER LEADING_FORMULA_MARKER NAME_LIKE_BLOCK,1
SIGN SLOT_FINAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1
SIGN SIGN SLOT_INITIAL_MODIFIER SIGN INITIAL_TITLE_OR_CLASSIFIER,1
TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX,1
CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1
SIGN LEADING_FORMULA_MARKER SLOT_INITIAL_MODIFIER,1
SIGN TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1
SIGN SIGN SLOT_FINAL_MODIFIER SLOT_FINAL_MODIFIER,1
SIGN SIGN SLOT_FINAL_MODIFIER SIGN,1
SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER SIGN,1
