"Rank","Sign","TotalTokens","TokenPct","CumulativeCoverage","CoreGroup","PositionRole","MechanismHypothesis","StartPct","MedialPct","EndPct","SingletonPct","PositionEntropy10","LeftNeighborEntropy","RightNeighborEntropy","DominantLeftNeighbor","DominantLeftShare","DominantRightNeighbor","DominantRightShare","RegionEntropy","SiteEntropy","TypeEntropy","AdjacentSelfRepeats","CandidateClasses"
"92","632","32","0.001773","0.831745","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.375","0.625","0","0","0.916","0.8212","0.954","032","0.4667","125","0.1333","0.7014","0.6986","0.6123","0","Unclassified"
"93","824","32","0.001773","0.833518","Extension90","TerminalMarker","FormulaOrGrammarMarker","0.3043","0","0.6957","0","0.4468","0.6678","0.5463","892","0.6667","002","0.8182","0.6008","0.5444","0.8514","0","Unclassified"
"94","165","31","0.001718","0.835236","Extension90","MixedPosition","ExtendedInventoryCandidate","0.2857","0.381","0.3333","0","0.775","0.8","0.9795","900","0.4545","831","0.1053","0.6904","0.6228","0.8087","0","Unclassified"
"95","501","31","0.001718","0.836954","Extension90","InitialMarker","FormulaOrGrammarMarker","0.9355","0.0645","0","0","0.1233","1","0.2584","031","0.5","405","0.9355","0.2056","0.2056","0.3451","0","InitialCandidate"
"96","095","30","0.001663","0.838617","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.1905","0.7619","0.0476","0","0.7549","0.763","0.7282","585","0.5263","520","0.5185","0.6702","0.6277","0.7666","0","Unclassified"
"97","495","30","0.001663","0.840279","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.5263","0.4737","0","0","0.9003","0.9137","0.8989","002","0.2857","776","0.1852","0.9019","0.7477","0.8342","0","Unclassified"
"98","171","29","0.001607","0.841886","Extension90","InitialMarker","FormulaOrGrammarMarker","0.619","0.381","0","0","0.7951","0.9107","0.636","061","0.3636","035","0.6538","0.6769","0.6769","0.7225","0","Unclassified"
"99","091","28","0.001552","0.843438","Extension90","InitialMarker","FormulaOrGrammarMarker","0.8947","0.0526","0","0.0526","0.7431","1","0.8498","190","0.25","056","0.3636","0.7867","0.8645","0.8617","0","Unclassified"
"100","463","28","0.001552","0.84499","Extension90","MedialCarrier","ExtendedInventoryCandidate","0","0.875","0.0625","0.0625","0.8118","0.9528","0.7853","510","0.1429","798","0.3913","0.7824","0.7452","0.8151","0","Unclassified"
"101","645","28","0.001552","0.846542","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.0588","0.8824","0.0588","0","0.7852","0.8599","0.8845","104","0.3182","590","0.3333","0.7432","0.6652","0.9393","4","Unclassified"
"102","175","27","0.001496","0.848038","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.5","0.5","0","0","0.868","0.8965","0.9446","002","0.3571","520","0.1538","0.9526","0.7936","0.8249","0","Unclassified"
"103","104","26","0.001441","0.849479","Extension90","InitialMarker","FormulaOrGrammarMarker","0.65","0.25","0.1","0","0.713","0.941","0.8826","002","0.3333","645","0.3333","0.7711","0.7302","0.841","0","Unclassified"
"104","236","26","0.001441","0.85092","Extension90","MixedPosition","UnclassifiedComputationalLead","0.1304","0.4783","0.3478","0.0435","0.6311","0.8454","0.8212","002","0.3333","400","0.4667","0.9131","0.7908","0.847","0","Unclassified"
"105","500","24","0.00133","0.85225","Extension90","MedialCarrier","UnclassifiedComputationalLead","0.05","0.95","0","0","0.6448","0.6903","0.6072","705","0.6","741","0.6818","0.9206","0.7814","0.8618","0","MedialCandidate"
"106","555","24","0.00133","0.85358","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.0556","0.8889","0.0556","0","0.7262","0.8756","0.684","235","0.3","527","0.8182","0.7382","0.7382","0.682","0","Unclassified"
"107","540","22","0.001219","0.854799","Extension90","SingletonOrEmblem","ObjectOrEmblemCandidate","0.1429","0.3571","0","0.5","0.6472","0.9284","0.9122","540","0.375","740","0.3636","0.7696","0.7925","0.9427","6","Unclassified"
"108","621","22","0.001219","0.856019","Extension90","TerminalMarker","FormulaOrGrammarMarker","0.1667","0.1111","0.7222","0","0.3643","0.885","0.961","740","0.3158","740","0.4","0.4416","0.4416","0.2668","0","Unclassified"
"109","636","22","0.001219","0.857238","Extension90","MedialCarrier","UnclassifiedComputationalLead","0","1","0","0","0.6357","0","0.5591","240","1","740","0.7619","0.8454","0.6452","0.8528","0","Unclassified"
"110","877","22","0.001219","0.858457","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.4286","0.5714","0","0","0.7949","0.6254","0.8639","032","0.7692","740","0.3889","0.6752","0.6751","0.7124","0","Unclassified"
"111","382","21","0.001164","0.859621","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.3636","0.5455","0.0909","0","0.8475","0.9788","0.9147","382","0.1667","760","0.3125","0.7862","0.8579","0.7647","4","Unclassified"
"112","711","21","0.001164","0.860785","Extension90","MedialCarrier","UnclassifiedComputationalLead","0","1","0","0","0.553","0.2975","0.3373","335","0.9474","033","0.9375","0","0","0.2762","0","Unclassified"
