"Sign","Side","Neighbor","Count"
"060","Next","798","4"
"060","Next","705","3"
"060","Next","740","3"
"060","Next","017","3"
"060","Next","590","3"
"060","Next","745","3"
"060","Next","061","3"
"060","Next","415","3"
"060","Next","531","2"
"060","Next","482","2"
"060","Next","869","2"
"060","Next","END","2"
"060","Next","806","2"
"060","Next","255","2"
"060","Next","176","2"
"060","Next","004","2"
"060","Next","142","1"
"060","Next","140","1"
"060","Next","773","1"
"060","Next","033","1"
"060","Next","253","1"
"060","Next","165","1"
"060","Next","055","1"
"060","Next","016","1"
"060","Next","900","1"
"060","Next","920","1"
"060","Next","844","1"
"060","Next","927","1"
"060","Next","820","1"
"060","Next","832","1"
"060","Next","706","1"
"060","Next","440","1"
"060","Next","511","1"
"060","Next","552","1"
"060","Next","550","1"
"060","Next","463","1"
"060","Next","452","1"
"060","Next","500","1"
"060","Next","443","1"
"060","Next","679","1"
"060","Next","626","1"
"060","Next","703","1"
"060","Next","390","1"
"060","Next","556","1"
"060","Next","555","1"
"060","Next","391","1"
"060","Next","564","1"
"060","Prev","920","53"
"060","Prev","692","36"
"060","Prev","550","27"
"060","Prev","820","23"
"060","Prev","201","5"
"060","Prev","297","3"
"060","Prev","368","3"
"060","Prev","220","2"
"060","Prev","690","2"
"060","Prev","START","2"
"060","Prev","111","2"
"060","Prev","891","2"
"060","Prev","740","1"
"060","Prev","575","1"
"060","Prev","880","1"
"060","Prev","922","1"
"060","Prev","840","1"
"060","Prev","795","1"
"060","Prev","825","1"
"060","Prev","573","1"
"060","Prev","130","1"
"060","Prev","146","1"
"060","Prev","190","1"
"060","Prev","001","1"
"060","Prev","013","1"
"060","Prev","065","1"
"060","Prev","193","1"
"060","Prev","415","1"
"060","Prev","540","1"
"060","Prev","572","1"
"060","Prev","390","1"
"060","Prev","407","1"
"060","Prev","413","1"
"061","Next","407","22"
"061","Next","740","18"
"061","Next","142","10"
"061","Next","151","5"
"061","Next","405","5"
"061","Next","171","4"
"061","Next","255","3"
"061","Next","626","1"
"061","Next","702","1"
"061","Next","760","1"
"061","Next","717","1"
"061","Next","706","1"
"061","Next","400","1"
"061","Next","347","1"
"061","Next","278","1"
"061","Next","550","1"
"061","Next","409","1"
"061","Next","406","1"
