"Sign","TotalTokens","TextCount","SiteCount","RegionCount","TypeCount","DamagedContextTokens","RarityBand","PositionTotal","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","CandidateClasses"
"137","16","16","2","2","4","4","Low6To19","12","7","3","1","1","0.5833","0.25","0.0833","0.0833","0.3333","Unclassified"
"374","16","16","6","5","2","12","Low6To19","9","3","0","6","0","0.3333","0","0.6667","0","0.3039","Unclassified"
"906","16","16","5","4","6","8","Low6To19","8","2","1","5","0","0.25","0.125","0.625","0","0.215","Unclassified"
"921","16","16","4","4","4","4","Low6To19","13","4","1","8","0","0.3077","0.0769","0.6154","0","0.3888","Unclassified"
"065","15","15","4","3","3","7","Low6To19","11","0","1","10","0","0","0.0909","0.9091","0","0.3645","Unclassified"
"072","15","15","4","3","4","4","Low6To19","13","5","1","7","0","0.3846","0.0769","0.5385","0","0.3916","Unclassified"
"111","15","15","6","3","5","7","Low6To19","9","1","3","5","0","0.1111","0.3333","0.5556","0","0.5685","Unclassified"
"297","15","15","5","3","3","4","Low6To19","12","1","0","11","0","0.0833","0","0.9167","0","0.3917","Unclassified"
"321","15","15","2","2","2","4","Low6To19","15","1","0","14","0","0.0667","0","0.9333","0","0.7778","Unclassified"
"354","15","15","6","3","7","8","Low6To19","7","2","1","3","1","0.2857","0.1429","0.4286","0.1429","0.4667","Unclassified"
"554","15","15","5","3","6","6","Low6To19","10","3","0","7","0","0.3","0","0.7","0","0.4833","Unclassified"
"565","15","15","2","2","3","4","Low6To19","12","1","8","2","1","0.0833","0.6667","0.1667","0.0833","0.8345","Unclassified"
"605","15","15","3","3","4","5","Low6To19","12","8","0","4","0","0.6667","0","0.3333","0","0.2042","Unclassified"
"064","14","14","4","3","6","6","Low6To19","6","1","4","1","0","0.1667","0.6667","0.1667","0","0.75","Unclassified"
"337","14","14","3","2","4","6","Low6To19","10","1","0","9","0","0.1","0","0.9","0","0.5656","Unclassified"
"484","14","14","3","3","6","5","Low6To19","10","4","1","5","0","0.4","0.1","0.5","0","0.3561","Unclassified"
"821","14","14","5","4","6","4","Low6To19","12","5","2","5","0","0.4167","0.1667","0.4167","0","0.4831","Unclassified"
"844","14","14","4","2","5","7","Low6To19","8","2","0","6","0","0.25","0","0.75","0","0.5571","Unclassified"
"063","13","13","5","3","5","5","Low6To19","9","1","1","7","0","0.1111","0.1111","0.7778","0","0.5029","Unclassified"
"136","13","13","4","3","5","3","Low6To19","11","0","8","1","2","0","0.7273","0.0909","0.1818","0.8333","Unclassified"
"161","13","13","4","2","3","5","Low6To19","10","0","10","0","0","0","1","0","0","1","Unclassified"
"317","13","13","7","5","7","6","Low6To19","8","3","5","0","0","0.375","0.625","0","0","0.625","Unclassified"
"318","13","13","1","1","2","2","Low6To19","12","0","0","12","0","0","0","1","0","0.3167","Unclassified"
"406","13","12","4","3","5","7","Low6To19","9","1","3","5","0","0.1111","0.3333","0.5556","0","0.7053","Unclassified"
"510","13","13","5","4","4","6","Low6To19","8","4","0","4","0","0.5","0","0.5","0","0.2737","Unclassified"
"526","13","13","5","3","3","2","Low6To19","13","0","13","0","0","0","1","0","0","1","Unclassified"
"792","13","13","2","2","5","5","Low6To19","9","5","0","4","0","0.5556","0","0.4444","0","0.2074","Unclassified"
"794","13","13","4","3","6","6","Low6To19","9","2","0","7","0","0.2222","0","0.7778","0","0.3903","Unclassified"
"868","13","13","1","1","1","4","Low6To19","10","0","10","0","0","0","1","0","0","1","Unclassified"
"905","13","13","3","3","4","5","Low6To19","11","10","0","1","0","0.9091","0","0.0909","0","0.0545","Unclassified"
"241","12","12","2","2","2","4","Low6To19","11","0","9","2","0","0","0.8182","0.1818","0","0.9318","Unclassified"
"243","12","12","2","2","2","6","Low6To19","10","3","1","6","0","0.3","0.1","0.6","0","0.5267","Unclassified"
"360","12","12","4","3","7","7","Low6To19","8","4","1","3","0","0.5","0.125","0.375","0","0.2125","Unclassified"
"511","12","12","2","2","4","5","Low6To19","6","1","2","2","1","0.1667","0.3333","0.3333","0.1667","0.6","Unclassified"
"703","12","12","5","3","4","4","Low6To19","8","5","0","3","0","0.625","0","0.375","0","0.1292","Unclassified"
"890","12","12","3","2","3","3","Low6To19","11","0","0","11","0","0","0","1","0","0.7455","Unclassified"
"190","11","11","4","4","2","6","Low6To19","10","5","1","4","0","0.5","0.1","0.4","0","0.2679","Unclassified"
"215","11","11","4","3","4","3","Low6To19","9","3","4","1","1","0.3333","0.4444","0.1111","0.1111","0.5833","Unclassified"
"269","11","11","4","3","2","5","Low6To19","8","0","1","7","0","0","0.125","0.875","0","0.6314","Unclassified"
"315","11","11","3","3","3","5","Low6To19","8","3","0","5","0","0.375","0","0.625","0","0.1854","Unclassified"
"336","11","11","2","2","4","3","Low6To19","8","0","0","8","0","0","0","1","0","0.5208","Unclassified"
"371","11","11","3","3","3","2","Low6To19","9","6","0","3","0","0.6667","0","0.3333","0","0.1952","Unclassified"
"411","11","9","6","3","3","7","Low6To19","5","0","2","1","2","0","0.4","0.2","0.4","0.7667","Unclassified"
"525","11","11","2","2","2","2","Low6To19","10","0","1","9","0","0","0.1","0.9","0","0.705","Unclassified"
"556","11","11","3","2","7","7","Low6To19","7","5","1","0","1","0.7143","0.1429","0","0.1429","0.2143","Unclassified"
"592","11","11","4","3","3","4","Low6To19","9","2","4","1","2","0.2222","0.4444","0.1111","0.2222","0.6111","Unclassified"
"625","11","11","4","3","5","8","Low6To19","4","2","0","2","0","0.5","0","0.5","0","0.2708","Unclassified"
